Date,Max,Min,Rain
1/06/2018,17.7,4.0,0
2/06/2018,19.4,5.4,0
3/06/2018,17.2,4.2,0
4/06/2018,15.2,7.3,0
5/06/2018,15.6,3.9,0
6/06/2018,18.6,5.2,0
7/06/2018,18.3,12.2,0
8/06/2018,15.2,12.5,2.2
9/06/2018,16.6,12.2,0.2
10/06/2018,20.1,8.6,0
11/06/2018,20.7,13.2,0.2
12/06/2018,15.2,12.7,4.0
13/06/2018,15.7,9.9,8.2
14/06/2018,16.2,11.4,1.8
15/06/2018,15.3,10.3,5.2
16/06/2018,13.4,10.4,5.4
17/06/2018,14.2,8.5,4.8
18/06/2018,12.7,5.4,0.2
19/06/2018,13.6,6.6,0
20/06/2018,14.9,7.9,0
21/06/2018,14.6,6.4,0
22/06/2018,15.7,2.8,0
23/06/2018,16.2,3.2,0
24/06/2018,15.4,5.2,0
25/06/2018,13.5,2.8,0
26/06/2018,14.1,2.7,0
27/06/2018,13.2,2.5,0
28/06/2018,14.2,2.2,0
29/06/2018,14.9,6.8,0
30/06/2018,14.5,10.1,1.6
1/07/2018,15.4,2.9,0
2/07/2018,16.0,3.8,0
3/07/2018,18.7,8.9,0
4/07/2018,18.2,11.3,0
5/07/2018,17.1,13.1,0.2
6/07/2018,14.2,9.3,5.2
7/07/2018,14.3,8.9,7.4
8/07/2018,14.9,10.4,0.6
9/07/2018,13.8,9.8,0
10/07/2018,13.8,4.6,0
11/07/2018,14.1,4.3,3.0
12/07/2018,14.3,7.4,0.8
13/07/2018,14.0,3.0,0
14/07/2018,16.6,4.2,0
15/07/2018,16.1,5.8,0
16/07/2018,16.8,10.4,0
17/07/2018,14.8,12.1,0
18/07/2018,17.1,5.7,2.0
19/07/2018,12.3,6.1,0
20/07/2018,13.4,8.6,9.4
21/07/2018,15.7,7.2,0.8
22/07/2018,17.9,9.5,0
23/07/2018,18.7,11.2,0
24/07/2018,16.4,11.5,3.0
25/07/2018,16.2,11.2,7.2
26/07/2018,19.6,8.0,0.2
27/07/2018,20.8,13.0,0
28/07/2018,15.5,6.4,0
29/07/2018,13.7,9.3,2.2
30/07/2018,16.1,10.1,0
31/07/2018,15.9,11.4,1.6
1/08/2018,16.9,9.3,2.6
2/08/2018,22.9,9.6,0
3/08/2018,14.3,9.2,21.2
4/08/2018,17.9,9.9,1.0
5/08/2018,15.0,12.3,0
6/08/2018,13.2,8.1,12.2
7/08/2018,14.4,8.0,7.2
8/08/2018,15.5,11.2,1.8
9/08/2018,19.1,10.1,0
10/08/2018,16.8,13.1,0
11/08/2018,12.4,8.1,7.8
12/08/2018,14.8,7.6,3.0
13/08/2018,14.7,10.3,0.8
14/08/2018,18.2,6.6,0
15/08/2018,15.7,11.5,0
16/08/2018,14.0,6.9,3.2
17/08/2018,16.2,7.2,0
18/08/2018,13.7,9.8,3.6
19/08/2018,13.9,9.8,0.8
20/08/2018,13.6,5.3,0
21/08/2018,15.4,8.3,0
22/08/2018,21.4,5.2,0
23/08/2018,21.1,11.9,0
24/08/2018,21.0,13.0,0
25/08/2018,16.3,5.2,0
26/08/2018,15.0,4.5,0
27/08/2018,15.8,7.2,0
28/08/2018,19.9,7.7,0
29/08/2018,26.3,13.1,0
30/08/2018,20.4,19.2,0.4
31/08/2018,15.4,10.6,5.6
1/09/2018,15.3,10.4,7.0
2/09/2018,14.8,7.6,0.6
3/09/2018,15.2,3.5,0
4/09/2018,17.8,2.9,0
5/09/2018,21.2,5.9,0
6/09/2018,16.1,12.0,0.6
7/09/2018,14.9,4.2,0
8/09/2018,17.8,7.1,0
9/09/2018,19.1,7.7,0
10/09/2018,24.8,7.6,0
11/09/2018,22.7,13.5,0
12/09/2018,16.0,11.0,0.2
13/09/2018,18.7,6.7,0
14/09/2018,26.0,9.7,0
15/09/2018,13.7,8.3,3.8
16/09/2018,15.1,6.2,0.4
17/09/2018,19.4,5.1,0
18/09/2018,16.1,11.4,0
19/09/2018,15.0,9.7,2.6
20/09/2018,15.9,9.0,4.2
21/09/2018,19.0,11.8,0
22/09/2018,20.3,7.3,0
23/09/2018,19.9,7.6,0
24/09/2018,17.9,6.2,0
25/09/2018,18.9,4.7,0
26/09/2018,24.5,7.0,0
27/09/2018,17.5,11.5,0
28/09/2018,16.5,11.9,0
29/09/2018,16.0,4.6,0
30/09/2018,23.1,4.3,0
1/10/2018,24.9,13.9,0
2/10/2018,29.5,13.6,0
3/10/2018,19.9,14.6,4.2
4/10/2018,17.0,11.1,0
5/10/2018,18.1,9.5,0
6/10/2018,22.7,8.3,0
7/10/2018,28.6,12.9,0.2
8/10/2018,28.9,18.3,0.2
9/10/2018,16.2,13.6,0
10/10/2018,18.7,10.5,0
11/10/2018,22.1,8.5,0
12/10/2018,26.5,13.8,0
13/10/2018,29.5,13.6,0
14/10/2018,29.3,21.8,0
15/10/2018,27.3,19.1,4.6
16/10/2018,15.8,14.1,0.2
17/10/2018,15.2,12.7,2.8
18/10/2018,23.5,11.6,0.8
19/10/2018,27.2,12.1,0
20/10/2018,17.7,13.1,0
21/10/2018,23.0,7.8,0
22/10/2018,29.0,13.5,0
23/10/2018,18.0,13.6,0
24/10/2018,20.4,7.5,0
25/10/2018,21.4,8.4,0
26/10/2018,21.2,8.1,0
27/10/2018,23.6,8.8,0
28/10/2018,20.7,13.2,0
29/10/2018,19.4,8.5,0
30/10/2018,24.6,7.9,0
31/10/2018,33.2,11.9,0
1/11/2018,33.8,20.5,0
2/11/2018,23.5,19.3,0.6
3/11/2018,20.1,15.5,0
4/11/2018,26.6,12.1,0
5/11/2018,25.0,17.4,4.8
6/11/2018,20.0,15.3,0.4
7/11/2018,17.2,11.0,0.8
8/11/2018,18.7,8.4,0.2
9/11/2018,22.8,9.3,0
10/11/2018,23.9,9.4,0
11/11/2018,29.8,10.0,0
12/11/2018,33.8,19.6,0
13/11/2018,23.2,18.6,0
14/11/2018,20.5,14.8,0
15/11/2018,23.1,11.1,0
16/11/2018,21.4,9.5,0
17/11/2018,25.6,11.1,0
18/11/2018,30.7,15.9,0
19/11/2018,36.6,21.0,0
20/11/2018,18.9,14.3,1.2
21/11/2018,16.7,13.5,4.4
22/11/2018,17.8,9.8,13.8
23/11/2018,18.0,10.8,2.8
24/11/2018,20.5,7.7,0
25/11/2018,21.4,12.7,3.4
26/11/2018,20.3,11.6,0
27/11/2018,19.8,13.6,0.4
28/11/2018,20.0,13.8,2.0
29/11/2018,20.2,10.5,0
30/11/2018,28.8,9.8,0
1/12/2018,32.7,16.5,0
2/12/2018,20.3,14.0,0.6
3/12/2018,21.0,15.3,0
4/12/2018,27.4,12.3,0
5/12/2018,32.6,14.4,0
6/12/2018,37.9,21.7,0
7/12/2018,37.5,23.7,0
8/12/2018,22.9,18.7,0.8
9/12/2018,27.6,16.0,2.6
10/12/2018,28.3,14.7,0
11/12/2018,31.2,16.3,0
12/12/2018,34.0,19.9,0
13/12/2018,17.3,12.8,4.6
14/12/2018,22.4,12.0,8.2
15/12/2018,22.2,15.2,0.2
16/12/2018,21.5,17.1,0.6
17/12/2018,27.5,15.8,0
18/12/2018,28.9,18.6,0
19/12/2018,35.5,20.6,3.4
20/12/2018,24.8,17.1,0
21/12/2018,22.1,15.0,0
22/12/2018,23.1,11.3,0
23/12/2018,27.0,10.3,0
24/12/2018,35.1,14.1,0
25/12/2018,32.4,15.3,0
26/12/2018,32.8,16.1,0
27/12/2018,40.9,17.1,0
28/12/2018,35.8,22.2,0
29/12/2018,30.5,23.1,0
30/12/2018,29.1,17.4,0
31/12/2018,25.8,15.9,0
1/01/2019,29.6,13.2,0
2/01/2019,33.6,15.8,0
3/01/2019,40.1,17.3,0
4/01/2019,24.1,23.3,0
5/01/2019,22.4,16.9,0
6/01/2019,25.1,13.6,0
7/01/2019,24.5,13.7,0
8/01/2019,23.7,13.3,0
9/01/2019,25.2,14.4,0
10/01/2019,28.5,14.0,0
11/01/2019,37.3,15.3,0
12/01/2019,32.4,21.4,0
13/01/2019,34.4,15.6,0
14/01/2019,35.2,16.0,0
15/01/2019,39.4,19.5,0
16/01/2019,39.0,20.5,0
17/01/2019,38.9,23.7,0
18/01/2019,25.8,21.7,0.2
19/01/2019,29.2,15.6,0
20/01/2019,31.6,16.4,0
21/01/2019,30.5,20.2,0
22/01/2019,35.2,21.5,0
23/01/2019,38.6,22.7,0
24/01/2019,45.8,27.0,0
25/01/2019,26.9,23.5,0
26/01/2019,24.7,17.3,0
27/01/2019,24.8,16.1,0
28/01/2019,26.7,14.9,0
29/01/2019,30.1,15.4,0
30/01/2019,38.6,16.5,0
31/01/2019,25.7,17.6,0
1/02/2019,29.5,14.5,0
2/02/2019,36.8,13.1,0
3/02/2019,33.0,20.8,0
4/02/2019,27.2,18.9,0
5/02/2019,31.0,15.9,0
6/02/2019,28.1,19.3,0
7/02/2019,29.3,18.5,0
8/02/2019,23.0,17.9,0
9/02/2019,22.7,16.0,0
10/02/2019,22.2,15.5,0
11/02/2019,25.6,18.5,0
12/02/2019,20.4,16.2,3.6
13/02/2019,21.7,13.3,2.8
14/02/2019,22.2,12.1,0
15/02/2019,26.0,12.9,0
16/02/2019,26.8,13.9,0
17/02/2019,32.3,15.1,0
18/02/2019,23.1,19.3,0
19/02/2019,22.7,16.8,0
20/02/2019,23.2,14.5,0
21/02/2019,26.7,14.9,0
22/02/2019,31.8,13.2,0
23/02/2019,32.2,17.4,0
24/02/2019,33.5,16.1,0
25/02/2019,35.5,20.7,0
26/02/2019,35.7,19.3,0
27/02/2019,35.0,20.5,0
28/02/2019,33.7,19.8,0
1/03/2019,38.8,19.5,0
2/03/2019,39.3,27.9,0
3/03/2019,31.7,20.5,0
4/03/2019,28.8,17.5,0.6
5/03/2019,23.0,15.4,0
